num_items,max_cap,num_players,trial,slack_found,boosted,equilibrium,rounds,delta_final,time_sec,avg_demand_change,avg_max_price,avg_price_std,allocated_players,allocation_rate
24,4,36,0,1,False,True,5,0.5,0.14617799990810454,0.24087690631808278,4.465396773834715,1.3511117941780593,36,1.0
24,4,36,1,1,False,True,5,0.5,0.1407898000907153,0.2687908496732026,4.43764929219912,1.053476442854713,36,1.0
24,4,36,2,1,False,True,7,0.5,0.15970199997536838,0.17475728155339806,3.266850300091951,0.7748400511469526,36,1.0
24,4,36,3,1,False,True,4,0.5,0.14839530014432967,0.1476464148877942,1.9038885583696343,0.49030386025422545,36,1.0
24,4,36,4,1,False,True,2,0.5,0.1353160000871867,0.2071586511885019,1.2683322466095228,0.3911121181908615,36,1.0
24,4,36,5,1,False,True,2,0.5,0.13668900006450713,0.2537313432835821,2.491071879547527,0.6723721755401929,36,1.0
24,4,36,6,0,True,True,75,0.25,0.044767299899831414,0.16966966966966968,2.404994842290364,0.7286232268061811,36,1.0
24,4,36,7,1,False,True,22,0.5,0.14656620007008314,0.3558320764203117,8.218325169501943,1.984770826870099,36,1.0
24,4,36,8,0,True,True,73,0.25,0.05369429988786578,0.2195216049382716,0.773220106668865,0.22737304539792452,36,1.0
24,4,36,9,1,False,True,4,0.5,0.14333879994228482,0.20580186097427478,3.540763170192151,0.788058455930839,36,1.0
24,6,60,0,1,False,True,4,0.5,0.2231289001647383,0.1619047619047619,3.576227248515607,1.0436625636847205,60,1.0
24,6,60,1,1,True,True,82,0.25,0.3233447000384331,0.24958481613285882,2.714401147948149,0.8530262858951501,60,1.0
24,6,60,2,1,False,True,8,0.5,0.22337940009310842,0.22423510466988728,4.287036912021949,0.9809706279288206,60,1.0
24,6,60,3,1,False,True,18,0.5,0.2679371000267565,0.23725038402457757,5.442667404885016,1.295378190134819,60,1.0
24,6,60,4,1,False,True,4,0.5,0.36020240001380444,0.15320197044334974,0.7953822352260913,0.2532452698430485,60,1.0
24,6,60,5,1,True,True,70,0.25,0.4512251999694854,0.2469640644361834,1.6210558422952694,0.45761793766895187,60,1.0
24,6,60,6,1,True,True,71,0.25,0.46103519992902875,0.2493827160493827,1.7551907743945383,0.5639943447155946,60,1.0
24,6,60,7,1,False,True,4,0.5,0.35800580005161464,0.14105090311986865,2.2785365700684013,0.6135174772751019,60,1.0
24,6,60,8,2,False,True,7,0.5,0.6661447000224143,0.2006568144499179,2.0924616356008032,0.5755859871093537,60,1.0
24,6,60,9,1,False,True,3,0.5,0.32960639987140894,0.2272277227722772,2.0255843862701526,0.5272352960344094,60,1.0
24,8,84,0,1,True,True,70,0.25,0.6872103998903185,0.27071163037705787,3.367797147963292,0.9620076184663153,84,1.0
24,8,84,1,1,True,True,89,0.25,0.663258200045675,0.20634920634920637,5.136914881239786,1.4152121398810698,84,1.0
24,8,84,2,1,True,True,74,0.25,0.7035158998332918,0.19993894993894992,3.4122879413309724,1.1568217373155485,84,1.0
24,8,84,3,2,False,True,13,0.5,1.0812138000037521,0.2045191863153028,4.04291896988731,1.2134894258241717,84,1.0
24,8,84,4,1,False,True,10,0.5,0.5105691999197006,0.1787423103212577,2.3448003624938245,0.6919990864566153,84,1.0
24,8,84,5,1,False,True,22,0.5,0.5236346998717636,0.16887524240465415,5.158350586621119,1.4316513937455217,84,1.0
24,8,84,6,1,True,True,84,0.25,0.6932000999804586,0.1626703685007572,7.030236903540811,2.3469308376715587,82,0.9761904761904762
24,8,84,7,1,False,True,3,0.5,0.48637339984998107,0.10696605374823197,1.2929026225169524,0.3760937464414993,84,1.0
24,8,84,8,1,True,True,70,0.25,0.6327837998978794,0.16024960169941582,1.0852732768307125,0.3502460459738874,84,1.0
24,8,84,9,1,False,True,14,0.5,0.47695879987441003,0.15045830538788288,2.659584345783543,0.8831209197792614,84,1.0
48,4,72,0,1,False,True,4,0.5,0.7191123999655247,0.2432950191570881,1.444935397560589,0.3786172066237501,72,1.0
48,4,72,1,1,False,True,2,0.5,0.7037847000174224,0.2439192924267551,1.1465415256168765,0.2960620535836,72,1.0
48,4,72,2,1,False,True,9,0.5,0.7167130000889301,0.3183760683760684,2.710647158297299,0.5930593401461457,72,1.0
48,4,72,3,1,False,True,5,0.5,0.740153499878943,0.2562636165577342,2.075362971453657,0.5363567884878896,72,1.0
48,4,72,4,1,False,True,5,0.5,0.6990572998765856,0.2267156862745098,1.40724527749612,0.3290602840712986,72,1.0
48,4,72,5,1,False,True,3,0.5,0.8181968999560922,0.36702420242024203,2.169040843406678,0.491729115977615,72,1.0
48,4,72,6,1,True,True,71,0.25,1.0950444000773132,0.2685699588477366,1.9033199400753023,0.4792698762744489,72,1.0
48,4,72,7,1,False,True,5,0.5,0.7445621001534164,0.2702205882352941,1.7552473532147754,0.3986900349981138,72,1.0
48,4,72,8,2,False,True,4,0.5,1.573702400084585,0.20113041080783017,1.324926248190876,0.3739883755770819,72,1.0
48,4,72,9,1,False,True,4,0.5,0.7613179001491517,0.3277230432402847,2.529636340492995,0.560059868137333,72,1.0
48,6,120,0,1,True,True,73,0.25,1.9035099002067,0.28023897058823527,1.775169025871187,0.38270869452755635,120,1.0
48,6,120,1,1,False,True,6,0.5,1.2546753999777138,0.23565040650406505,1.6432941409855892,0.452122937875072,120,1.0
48,6,120,2,1,False,True,5,0.5,1.2774127000011504,0.2522467320261438,1.6177490886187025,0.40360148593744666,120,1.0
48,6,120,3,2,False,True,2,0.5,2.366938800085336,0.24573981712385704,1.3781066254901868,0.3734072812603768,120,1.0
48,6,120,4,1,True,True,75,0.25,1.5426891001407057,0.2618917274939173,2.0631988023768253,0.6019523960554762,120,1.0
48,6,120,5,1,True,True,74,0.25,1.362896699924022,0.23592796092796092,2.0328334271913624,0.6225568313076766,120,1.0
48,6,120,6,1,True,True,72,0.25,1.6431532001588494,0.2507072570725707,1.6832328341649665,0.3692616104045954,120,1.0
48,6,120,7,1,True,True,74,0.25,1.643010700121522,0.2209096459096459,2.2150266507790564,0.5805416124050794,120,1.0
48,6,120,8,2,True,True,74,0.25,2.9907460000831634,0.24709302325581395,1.9663127657707484,0.45581084405184036,120,1.0
48,6,120,9,1,False,True,14,0.5,1.3538977999705821,0.2848982785602504,2.091216237602769,0.488508967014398,120,1.0
48,8,168,0,1,True,True,83,0.25,2.414585999911651,0.28465889902060115,1.4882476711398567,0.42584141254919444,168,1.0
48,8,168,1,2,False,True,6,0.5,3.3592020999640226,0.21407995296884186,2.1298357870360713,0.5380050133594755,168,1.0
48,8,168,2,2,False,True,8,0.5,3.2199047000613064,0.1966186966186966,2.9663866734288535,0.75254062240368,168,1.0
48,8,168,3,2,True,True,72,0.25,4.004135000053793,0.21870892730765343,1.7311748135018856,0.41754819621955797,168,1.0
48,8,168,4,1,True,True,72,0.25,2.3833242000546306,0.24112633983482695,1.5731988663845233,0.3910537945887432,168,1.0
48,8,168,5,2,True,True,75,0.25,4.198006100021303,0.17216696805304402,1.3112478019327642,0.3415216393071034,168,1.0
48,8,168,6,2,True,True,74,0.25,3.94548420002684,0.1926910299003322,3.1389461762281647,0.89042310014896,168,1.0
48,8,168,7,1,True,True,84,0.25,2.0877532998565584,0.2502523977788995,2.3162743775083623,0.6391434081212909,168,1.0
48,8,168,8,2,False,True,11,0.5,3.494640100048855,0.22327235772357726,1.409068013220175,0.4305976521020717,168,1.0
48,8,168,9,1,True,True,74,0.25,2.373670700006187,0.27193441479155767,2.6346826979089104,0.6561722567185847,168,1.0
96,4,144,0,1,True,True,73,0.25,3.8158936998806894,0.25020424836601307,1.591841500431319,0.2909034777310727,144,1.0
96,4,144,1,1,True,True,71,0.25,3.416118700057268,0.3612911522633745,1.029978178498017,0.2517585049475044,144,1.0
96,4,144,2,2,False,True,3,0.5,5.219364699907601,0.2171952736318408,1.9310568153676655,0.3722549913218575,144,1.0
96,4,144,3,1,False,True,6,0.5,2.7571290000341833,0.2796409214092141,2.2221013863086743,0.39510865611593154,144,1.0
96,4,144,4,1,True,True,71,0.25,3.6416949001140893,0.28680555555555554,1.3814472081490012,0.2712214848139146,144,1.0
96,4,144,5,1,True,True,74,0.25,3.5845570999663323,0.29347273097273097,1.333605659059798,0.2910467758410756,144,1.0
96,4,144,6,1,False,True,6,0.5,2.4039759999141097,0.37161246612466126,1.3702005235116002,0.32045031202178287,144,1.0
96,4,144,7,2,False,True,4,0.5,5.289358200039715,0.22804659498207883,1.3076218069743533,0.30061188008086,144,1.0
96,4,144,8,2,False,True,4,0.5,6.21199159999378,0.21558795147504825,1.6531982327305887,0.3705342550809186,144,1.0
96,4,144,9,1,False,True,5,0.5,2.5063525000587106,0.2609953703703704,1.5475947621738182,0.2672372893627415,144,1.0
96,6,240,0,2,True,True,73,0.25,10.695706200087443,0.2279749293785311,1.06697543802184,0.27372419458683805,240,1.0
96,6,240,1,2,False,True,6,0.5,9.561522499890998,0.23387860082304526,2.005877771905388,0.3777628864836242,240,1.0
96,6,240,2,2,True,True,73,0.25,10.971151900012046,0.1877648305084746,1.4536794840500546,0.3701144001858504,240,1.0
96,6,240,3,2,False,True,3,0.5,9.617119600065053,0.20884121061359867,1.0779862123272919,0.29428572023371835,240,1.0
96,6,240,4,1,True,True,71,0.25,6.744172400096431,0.26069444444444445,1.67569024752172,0.37108093462663755,240,1.0
96,6,240,5,2,False,True,4,0.5,10.015700499992818,0.2793734491315137,1.0559916984911875,0.24851228253945531,240,1.0
96,6,240,6,2,True,True,72,0.25,11.106495199957862,0.22056794055201698,1.8501964639134003,0.39850444415692804,240,1.0
96,6,240,7,2,False,True,9,0.5,10.101657500024885,0.26611519607843137,2.160526755025357,0.4036773114322226,240,1.0
96,6,240,8,2,True,True,70,0.25,10.984457900049165,0.22348969438521676,1.3554236128196482,0.3216333436549958,240,1.0
96,6,240,9,2,True,True,71,0.25,11.512808399973437,0.18359929078014187,1.7736927713329025,0.3714451596745558,240,1.0
96,8,336,0,2,True,True,70,0.25,15.802495500072837,0.23225073611534167,1.1879038765279923,0.31357044247217114,336,1.0
96,8,336,1,2,True,True,71,0.25,14.213311000028625,0.25936550151975685,1.615476875375199,0.3261915234993154,336,1.0
96,8,336,2,2,True,True,81,0.25,11.602237300015986,0.309406001984127,1.7991741992372663,0.41500273315154873,336,1.0
96,8,336,3,2,True,True,76,0.25,11.089831199962646,0.2534586466165413,2.3652946178485132,0.5873449493272869,336,1.0
96,8,336,4,3,False,True,9,0.5,14.07409769995138,0.19522438909774437,2.1139670362612324,0.559020717066363,336,1.0
96,8,336,5,2,True,True,75,0.25,11.401301099918783,0.22646046815350615,1.4918340233893497,0.3065232823551516,336,1.0
96,8,336,6,3,False,True,5,0.5,14.155454399995506,0.19917317092399875,2.3201966430341296,0.6100623917372257,336,1.0
96,8,336,7,2,True,True,71,0.25,11.143312999978662,0.19481382978723405,1.506400966542112,0.3106882359447004,336,1.0
96,8,336,8,3,True,True,71,0.25,16.133107699919492,0.1962997512437811,1.3011098428788164,0.31202675006299657,336,1.0
96,8,336,9,2,True,True,71,0.25,11.619422700023279,0.25329280648429586,1.4560570449708432,0.28930980445555377,336,1.0
